日期	台積電收盤價_新台幣元	台積電成交量_千股	聯電收盤價_新台幣元	聯電成交量_千股
1995/1/5	3.23	1548	7.03	4097
1995/1/6	3.21	862	6.91	7148
1995/1/7	3.21	801	6.88	2414
1995/1/9	3.15	1696	6.8	1912
1995/1/10	3.12	2012	6.68	4633
1995/1/11	3.11	532	6.65	3246
1995/1/12	3.08	1637	6.65	4732
1995/1/13	3.04	1172	6.65	3159
1995/1/14	2.92	2869	6.34	6815
1995/1/16	2.86	1709	6.14	8435
1995/1/17	2.85	1685	6.11	5252
1995/1/18	2.89	2007	6.23	3674
1995/1/19	3.02	3731	6.4	9221
1995/1/20	2.95	2288	6.11	5761
1995/1/21	3.05	2099	6.25	4321
1995/1/23	2.92	1825	6.05	4372
1995/1/24	2.9	2259	5.77	8942
1995/1/25	2.98	1121	5.88	4902
1995/1/26	2.94	945	5.85	4250
1995/2/4	2.98	685	5.94	3592
1995/2/6	3.08	1342	6.34	7161
1995/2/7	3.07	1623	6.4	9492
1995/2/8	3.05	627	6.43	4495
1995/2/9	3.06	567	6.4	4966
1995/2/10	3.09	829	6.48	5393
1995/2/11	3.12	1173	6.51	4441
1995/2/13	3.1	821	6.45	7681
1995/2/14	3.09	586	6.45	4274
1995/2/15	3.17	1996	6.54	4566
1995/2/16	3.25	2674	6.6	8689
1995/2/17	3.29	2161	6.71	8111
1995/2/18	3.25	989	6.65	3969
1995/2/20	3.19	916	6.57	3438
1995/2/21	3.25	567	6.57	2554
1995/2/22	3.29	1643	6.51	1882
1995/2/23	3.27	548	6.43	2453
1995/2/24	3.33	3517	6.48	3039
1995/2/25	3.35	718	6.54	1733
1995/2/27	3.25	3798	6.28	9345
1995/2/28	3.23	1489	6.23	3929
1995/3/1	3.08	2455	6	6670
1995/3/2	3.15	677	6.08	3860
1995/3/3	3.19	495	6.14	2583
1995/3/4	3.23	687	6.2	2597
1995/3/6	3.25	723	6.11	1879
1995/3/7	3.31	2229	6.08	3485
1995/3/8	3.27	1816	6	2575
1995/3/9	3.31	2893	6	3971
1995/3/10	3.33	1379	6.14	3200
1995/3/11	3.33	1127	6.17	3875
1995/3/13	3.4	3468	6.23	5430
1995/3/14	3.35	1335	6.23	3918
1995/3/15	3.42	3960	6.57	13711
1995/3/16	3.42	1347	6.51	7000
1995/3/17	3.46	2519	6.63	11389
1995/3/18	3.42	994	6.68	4800
1995/3/20	3.46	1970	6.63	4426
1995/3/21	3.44	1653	6.63	10127
1995/3/22	3.44	2809	6.57	10704
1995/3/23	3.46	973	6.48	4387
1995/3/24	3.46	1708	6.6	6694
1995/3/25	3.54	5532	6.74	15265
1995/3/27	3.6	4589	7.08	22252
1995/3/28	3.65	3537	7.17	21743
1995/3/30	3.85	9538	7.51	31132
1995/3/31	3.92	6620	7.37	19564
1995/4/1	3.87	5956	7.37	12786
1995/4/6	3.96	8601	7.6	19170
1995/4/7	3.87	4385	7.43	18903
1995/4/8	3.85	3407	7.4	13368
1995/4/10	3.87	2533	7.31	7820
1995/4/11	3.9	5702	7.31	10502
1995/4/12	3.92	3567	7.45	13633
1995/4/13	3.85	3502	7.45	11885
1995/4/14	3.75	5273	7.2	10578
1995/4/15	3.65	5578	7.03	6617
1995/4/17	3.67	2989	7.17	8712
1995/4/18	3.58	3114	7.2	15681
1995/4/19	3.6	2241	7.17	6929
1995/4/20	3.58	1311	7.2	4895
1995/4/21	3.56	3777	7.23	18842
1995/4/22	3.6	1699	7.23	8233
1995/4/24	3.67	3219	7.4	14248
1995/4/25	3.62	2279	7.45	26515
1995/4/26	3.6	3695	7.08	23958
1995/4/27	3.6	2525	7.2	12437
1995/4/28	3.62	2023	7.14	9242
1995/4/29	3.62	1835	7.25	8896
1995/5/1	3.62	974	7.23	4446
1995/5/2	3.6	1046	7.31	12778
1995/5/3	3.6	808	7.25	9117
1995/5/4	3.58	1092	7.08	11621
1995/5/5	3.42	4369	6.71	21953
1995/5/6	3.48	2176	6.88	15233
1995/5/8	3.52	1683	6.91	9851
1995/5/9	3.62	3573	7.08	15524
1995/5/10	3.62	2835	7.17	16361
1995/5/11	3.67	1769	7.23	16148
1995/5/12	3.67	1519	7.14	8608
1995/5/13	3.83	5818	7.43	16500
1995/5/15	3.81	3244	7.37	13536
1995/5/16	3.81	2831	7.37	6897
1995/5/17	3.79	2711	7.43	14764
1995/5/18	3.81	1847	7.45	7334
1995/5/19	3.79	2055	7.43	15512
1995/5/20	3.81	2307	7.37	12542
1995/5/22	3.79	1308	7.37	8336
1995/5/23	3.83	1915	7.4	7972
1995/5/24	3.85	1644	7.45	7114
1995/5/25	3.9	8646	7.54	27643
1995/5/26	3.85	4702	7.45	14368
1995/5/27	3.77	2762	7.28	11372
1995/5/29	3.69	4150	7.17	14781
1995/5/30	3.75	1595	7.25	6525
1995/5/31	3.9	6600	7.25	10553
1995/6/1	3.92	3007	7.34	7031
1995/6/5	3.87	2734	7.34	7082
1995/6/6	3.94	3561	7.48	10015
1995/6/7	3.96	6044	7.51	21883
1995/6/8	4	4786	7.65	13656
1995/6/9	4.04	3174	7.57	11163
1995/6/10	4.02	3139	7.65	6940
1995/6/12	4.04	3385	7.65	5314
1995/6/13	4.08	5288	7.57	13774
1995/6/14	3.96	11420	7.37	25077
1995/6/15	3.85	28911	6.94	26393
1995/6/16	4.01	14095	7.08	18505
1995/6/17	3.91	8640	7	13064
1995/6/19	3.85	4207	6.8	7921
1995/6/20	3.87	3876	6.88	8522
1995/6/21	3.89	4706	6.85	6052
1995/6/22	4.01	5764	7	8161
1995/6/23	4.08	8868	7.11	7396
1995/6/24	4.2	7704	7.28	9193
1995/6/26	4.49	13617	7.54	19046
1995/6/27	4.41	16686	7.37	13746
1995/6/28	4.52	15227	7.37	13688
1995/6/29	4.68	21155	7.54	27826
1995/6/30	4.81	14070	7.57	15287
1995/7/3	4.51	16216	7.28	14083
1995/7/4	4.6	12140	7.6	14173
1995/7/5	4.62	8619	7.68	17521
1995/7/6	4.64	10279	7.77	23762
1995/7/7	4.68	7196	7.83	14594
1995/7/8	4.56	6928	7.71	12464
1995/7/10	4.54	4684	7.71	9002
1995/7/11	4.6	3952	7.8	8783
1995/7/12	4.52	6017	7.77	11159
1995/7/13	4.64	6932	7.88	10087
1995/7/14	4.56	5526	7.8	11455
1995/7/15	4.52	5443	7.94	14232
1995/7/17	4.35	8648	7.8	14065
1995/7/18	4.37	8300	7.74	13406
1995/7/19	4.24	13371	7.25	26408
1995/7/20	4.1	12629	6.83	17914
1995/7/21	4.12	8078	7.03	15749
1995/7/22	4.16	8408	7.11	10803
1995/7/24	4.1	4522	7	7271
1995/7/25	3.83	10141	6.51	23186
1995/7/26	3.85	12258	6.37	11633
1995/7/27	4.12	9640	6.8	11543
1995/7/28	4.1	8318	7	8833
1995/7/29	4.03	3871	7	7686
1995/7/31	3.95	5090	6.85	15114
1995/8/1	3.83	9698	7.1	25652
1995/8/2	3.66	13466	6.7	19911
1995/8/3	3.8	11843	6.88	16932
1995/8/4	3.83	8017	6.92	18292
1995/8/5	3.7	8027	6.74	15769
1995/8/7	3.76	7072	6.97	14636
1995/8/8	3.8	6552	6.92	9978
1995/8/9	3.7	7240	6.65	11258
1995/8/10	3.78	3377	6.74	6832
1995/8/11	3.72	7725	6.47	11999
1995/8/12	3.89	12317	6.7	11010
1995/8/14	3.8	6451	6.61	6734
1995/8/15	3.85	5398	6.65	7298
1995/8/16	4.06	10394	6.83	15859
1995/8/17	4.12	12238	6.74	14036
1995/8/18	4.16	5872	6.88	9954
1995/8/19	4.12	4318	6.74	5382
1995/8/21	4.12	3036	6.79	3592
1995/8/22	4.18	5804	6.88	3108
1995/8/23	4.08	5299	6.74	6271
1995/8/24	3.95	6505	6.61	5201
1995/8/25	3.95	6775	6.65	5872
1995/8/26	3.97	3396	6.65	3465
1995/8/28	4.03	3063	6.7	2596
1995/8/29	4.06	3365	6.65	4470
1995/8/30	4.08	3251	6.7	6061
1995/8/31	4.05	2991	6.65	2951
1995/9/1	4.05	2643	6.7	3944
1995/9/2	4.05	1672	6.74	3306
1995/9/4	4.12	3655	6.83	10565
1995/9/5	4.12	4613	6.92	14830
1995/9/6	4.2	7750	7.06	12341
1995/9/7	4.24	5351	7.15	11472
1995/9/8	4.33	8108	7.51	21483
1995/9/11	4.24	3940	7.42	20667
1995/9/12	4.22	3003	7.55	11259
1995/9/13	4.18	2894	7.37	8123
1995/9/14	4.22	6530	7.51	25179
1995/9/15	4.26	1934	7.55	8231
1995/9/16	4.16	2324	7.42	8166
1995/9/18	4.31	3276	7.64	16759
1995/9/19	4.26	2905	7.55	11242
1995/9/20	4.24	1931	7.42	7211
1995/9/21	4.22	2196	7.33	11088
1995/9/23	4.16	2806	7.19	9195
1995/9/25	4.18	2803	7.28	15858
1995/9/26	4.12	2727	7.1	17270
1995/9/27	3.97	8895	6.92	23497
1995/9/29	3.78	13292	6.61	25381
1995/9/30	3.76	8946	6.65	13735
1995/10/2	3.7	5109	6.65	7811
1995/10/3	3.68	4373	6.7	5212
1995/10/4	3.74	4025	6.74	6478
1995/10/5	3.72	2877	6.7	6923
1995/10/6	3.78	2776	6.74	10936
1995/10/7	3.78	1815	6.7	8369
1995/10/9	3.76	2625	6.65	8128
1995/10/11	3.57	10446	6.39	18816
1995/10/12	3.53	6025	6.43	8852
1995/10/13	3.6	7770	6.43	9532
1995/10/14	3.49	4654	6.3	7451
1995/10/16	3.53	1810	6.34	3935
1995/10/17	3.58	2111	6.52	6073
1995/10/18	3.57	1662	6.47	5320
1995/10/19	3.58	2162	6.43	5208
1995/10/20	3.55	1384	6.39	2395
1995/10/21	3.55	1208	6.39	3383
1995/10/23	3.57	1510	6.43	2301
1995/10/24	3.58	672	6.47	3243
1995/10/26	3.57	858	6.39	3372
1995/10/27	3.51	2510	6.3	8419
1995/10/28	3.37	3087	6.12	4891
1995/10/30	3.22	5862	5.94	8404
1995/11/1	3.22	3653	5.98	6133
1995/11/2	3.32	2318	6.21	6971
1995/11/3	3.34	3853	6.34	13431
1995/11/4	3.34	1702	6.3	8341
1995/11/6	3.37	1465	6.39	5746
1995/11/7	3.32	2272	6.25	10026
1995/11/8	3.24	3361	6.07	13602
1995/11/9	3.26	2884	6.03	7382
1995/11/10	3.24	2537	5.98	6110
1995/11/11	3.28	1007	6.03	3138
1995/11/14	3.26	1377	6.03	3150
1995/11/15	3.18	2044	5.85	8411
1995/11/16	3.12	4741	5.71	10935
1995/11/17	2.95	4277	5.44	11526
1995/11/18	3.03	3443	5.58	8620
1995/11/20	3.01	1142	5.49	4339
1995/11/21	3.11	2570	5.62	7581
1995/11/22	3.09	2224	5.58	3593
1995/11/23	3.03	3451	5.49	8237
1995/11/24	3.03	994	5.49	4097
1995/11/25	3.11	1753	5.67	6180
1995/11/27	3.18	2223	5.85	10455
1995/11/28	3.18	2433	5.71	9771
1995/11/29	3.18	4017	5.58	9310
1995/11/30	3.18	2812	5.76	5920
1995/12/1	3.24	3594	5.89	12443
1995/12/4	3.18	2513	5.76	9915
1995/12/5	3.2	1748	5.76	3441
1995/12/6	3.12	2572	5.62	4407
1995/12/7	3.18	1258	5.67	3300
1995/12/8	3.28	4170	5.85	10155
1995/12/9	3.28	1943	5.94	10992
1995/12/11	3.26	1780	5.89	6193
1995/12/12	3.28	2127	5.89	6119
1995/12/13	3.28	1548	5.94	4820
1995/12/14	3.28	2346	5.89	7004
1995/12/15	3.22	3828	5.98	8381
1995/12/16	3.2	2874	5.98	11003
1995/12/18	3.2	6024	6.07	11006
1995/12/19	3.16	3776	5.94	8248
1995/12/20	3.14	2383	5.85	8325
1995/12/21	3.14	1458	5.98	4161
1995/12/22	3.22	3370	6.07	15338
1995/12/23	3.24	2786	6.07	5867
1995/12/26	3.18	1090	6.03	4504
1995/12/27	3.18	980	6.03	3659
1995/12/28	3.2	1233	6.07	5071
1995/12/29	3.28	3545	6.16	11908
1995/12/30	3.26	2763	6.12	4798
1996/1/4	3.2	3265	6.03	7925
1996/1/5	2.99	3478	5.62	6931
1996/1/6	2.97	5604	5.62	9692
1996/1/8	3.03	2497	5.76	5289
1996/1/9	2.99	2391	5.62	7095
1996/1/10	2.91	5859	5.44	14008
1996/1/11	2.91	4028	5.49	10417
1996/1/12	2.86	3937	5.44	7934
1996/1/13	2.91	4328	5.58	6540
1996/1/15	2.95	2407	5.53	3878
1996/1/16	2.91	2431	5.49	4666
1996/1/17	2.89	2541	5.44	5767
1996/1/18	2.88	2176	5.44	4671
1996/1/19	2.89	1613	5.49	2823
1996/1/20	2.99	5014	5.58	9559
1996/1/22	2.99	2549	5.58	5737
1996/1/23	2.99	1800	5.49	3768
1996/1/24	2.97	1072	5.44	3617
1996/1/25	2.91	1745	5.44	4712
1996/1/26	2.93	1429	5.49	3227
1996/1/27	2.95	1026	5.49	2381
1996/1/29	2.88	2674	5.31	6660
1996/1/30	2.93	1615	5.49	5364
1996/1/31	2.93	1533	5.44	4903
1996/2/1	2.93	2268	5.44	2764
1996/2/2	2.95	1068	5.44	2853
1996/2/3	2.95	813	5.4	1282
1996/2/5	2.95	1810	5.22	7699
1996/2/6	2.89	1170	5.13	5609
1996/2/7	2.91	2501	5.22	4561
1996/2/8	2.88	1319	5.17	2132
1996/2/9	3.05	10855	5.26	11260
1996/2/10	3.03	2710	5.26	2434
1996/2/12	3.12	5955	5.44	8564
1996/2/13	3.16	6148	5.49	7993
1996/2/14	3.12	4328	5.49	7742
1996/2/15	3.12	5116	5.62	17645
1996/2/23	3.09	2737	5.67	13414
1996/2/24	3.09	805	5.67	3955
1996/2/26	3.07	1743	5.53	4907
1996/2/27	2.99	4670	5.44	8652
1996/2/28	2.91	2312	5.49	5064
1996/2/29	2.97	1153	5.53	2881
1996/3/1	3.05	1753	5.62	3648
1996/3/2	3.01	1964	5.53	2329
1996/3/4	2.97	1380	5.49	4219
1996/3/5	2.84	3827	5.35	8010
1996/3/6	2.74	1982	5.22	5608
1996/3/7	2.68	3812	5.17	6304
1996/3/8	2.72	4478	5.26	6799
1996/3/9	2.72	1474	5.22	3090
1996/3/11	2.61	4969	4.99	8588
1996/3/12	2.47	6345	4.77	12687
1996/3/13	2.57	5200	4.99	13494
1996/3/14	2.72	6290	5.22	11220
1996/3/15	2.76	5434	5.26	8088
1996/3/16	2.78	3470	5.26	5077
1996/3/18	2.8	4518	5.26	6562
1996/3/19	2.88	7244	5.4	10925
1996/3/20	2.95	5259	5.53	9322
1996/3/21	3.01	5960	5.49	8128
1996/3/22	2.97	6287	5.49	9997
1996/3/25	2.93	6885	5.53	9111
1996/3/26	2.93	3756	5.53	5879
1996/3/27	2.89	4156	5.49	4597
1996/3/28	2.88	2474	5.49	3185
1996/4/1	2.89	3916	5.58	5012
1996/4/2	2.93	2714	5.67	5905
1996/4/5	3.11	8510	6.03	25667
1996/4/6	3.18	7802	6.21	18758
1996/4/8	3.12	5986	6.07	13497
1996/4/9	3.2	13769	6.39	33833
1996/4/10	3.26	8890	6.52	30304
1996/4/11	3.16	9184	6.21	27584
1996/4/12	3.18	6300	6.34	21989
1996/4/13	3.39	15540	6.52	29712
1996/4/15	3.37	19957	6.39	24017
1996/4/16	3.37	13074	6.39	23269
1996/4/17	3.55	15865	6.43	19665
1996/4/18	3.7	25767	6.65	39930
1996/4/19	3.6	10948	6.47	17362
1996/4/20	3.53	14186	6.25	25605
1996/4/22	3.58	8184	6.3	8771
1996/4/23	3.78	27706	6.43	22825
1996/4/24	3.74	19932	6.39	11813
1996/4/25	3.68	9412	6.39	6767
1996/4/26	3.72	7329	6.43	6579
1996/4/27	3.82	9289	6.52	7815
1996/4/29	4.01	15446	6.79	29368
1996/4/30	3.95	14369	6.65	21737
1996/5/1	3.91	7470	6.65	12880
1996/5/2	3.95	14862	6.79	16959
1996/5/3	4.01	30404	6.97	31939
1996/5/4	4.26	4072	6.83	16238
1996/5/6	4.54	20094	7.01	28453
1996/5/7	4.61	58996	6.92	19489
1996/5/8	4.58	23507	7.33	51108
1996/5/9	4.44	24564	6.97	38515
1996/5/10	4.4	11443	6.79	21524
1996/5/11	4.4	9488	6.83	14304
1996/5/13	4.51	13079	6.88	22671
1996/5/14	4.51	7172	6.92	16890
1996/5/15	4.44	6201	6.83	17397
1996/5/16	4.44	4495	6.92	18169
1996/5/17	4.33	9529	6.52	51305
1996/5/18	4.3	7172	6.97	57618
1996/5/20	4.12	14677	7.02	59153
1996/5/21	4.12	7564	7.11	48440
1996/5/22	4.12	4547	7.01	26832
1996/5/23	4.16	6343	7.06	27823
1996/5/24	4.19	3995	7.08	16237
1996/5/25	4.23	7812	7.17	28035
1996/5/27	4.19	3061	7.19	11493
1996/5/28	4.08	8544	7.1	19202
1996/5/29	4.01	9984	7.06	10337
1996/5/30	3.98	8428	6.99	15872
1996/5/31	3.98	10451	6.99	10809
1996/6/1	3.98	3749	7.01	4554
1996/6/3	3.94	6260	6.93	6384
1996/6/4	3.91	8212	6.84	10053
1996/6/5	3.87	5182	6.9	9860
1996/6/6	3.91	5177	6.93	7359
1996/6/7	3.91	6243	6.97	8320
1996/6/8	4.05	8305	6.99	12268
1996/6/10	4.01	11213	6.97	9495
1996/6/11	3.98	6801	6.99	12762
1996/6/12	4.08	10915	7.44	45943
1996/6/13	4.33	25537	7.65	58443
1996/6/14	4.44	43696	8	106889
1996/6/15	4.47	13853	7.91	52590
1996/6/17	4.44	9691	7.83	24000
1996/6/18	4.26	11539	7.56	42479
1996/6/19	4.19	10560	7.51	28796
1996/6/21	4.05	12569	7.33	20024
1996/6/22	4.16	7112	7.38	11703
1996/6/24	4.08	5486	7.33	14147
1996/6/25	4.05	5001	7.26	11937
1996/6/26	4.12	4942	7.31	16733
1996/6/27	4.23	17988	7.62	41459
1996/6/28	4.05	12851	7.35	26829
1996/6/29	4.08	10043	7.37	12073
1996/7/2	4.01	13562	7.4	24435
1996/7/3	4.01	12103	7.37	12006
1996/7/4	3.94	13049	7.26	15770
1996/7/5	3.94	10273	7.22	8371
1996/7/6	3.91	7686	7.08	15088
1996/7/8	3.73	17710	6.9	18800
1996/7/9	3.66	14686	6.99	11042
1996/7/10	3.7	23567	6.9	12580
1996/7/11	3.8	18768	6.95	26711
1996/7/12	3.73	12651	6.81	23096
1996/7/13	3.73	5909	6.7	16383
1996/7/15	3.73	6168	6.57	17609
1996/7/16	3.52	19271	6.25	33956
1996/7/17	3.52	27701	6.32	27401
1996/7/18	3.52	12497	6.27	28432
1996/7/19	3.63	10171	6.41	21946
1996/7/20	3.59	4918	6.38	10228
1996/7/22	3.56	4869	6.23	9654
1996/7/23	3.56	4008	6.21	10872
1996/7/24	3.59	3537	6.18	8722
1996/7/25	3.52	4285	6.03	11882
1996/7/26	3.56	3109	6.12	8354
1996/7/27	3.66	8377	6.39	20369
1996/7/29	3.59	6220	6.27	10755
1996/7/30	3.56	2928	6.21	7399
1996/8/2	3.63	5770	6.25	10568
1996/8/3	3.59	4241	6.21	14705
1996/8/5	3.59	3491	6.21	6006
1996/8/6	3.63	4567	6.3	6207
1996/8/7	3.7	19124	6.47	49667
1996/8/8	3.84	20518	6.81	50697
1996/8/9	3.8	9248	6.61	23870
1996/8/10	3.73	4278	6.47	12976
1996/8/12	3.77	2788	6.45	5975
1996/8/13	3.73	3553	6.41	7988
1996/8/14	3.7	4931	6.43	6241
1996/8/15	3.73	8161	6.5	11865
1996/8/16	3.8	5389	6.48	10363
1996/8/17	3.77	3997	6.45	5470
1996/8/19	3.66	7111	6.3	12327
1996/8/20	3.7	3856	6.34	7222
1996/8/21	3.77	6754	6.41	11327
1996/8/22	3.73	3240	6.38	6033
1996/8/23	3.73	3877	6.36	5682
1996/8/24	3.7	4786	6.32	6642
1996/8/26	3.66	2285	6.3	4109
1996/8/27	3.7	2315	6.29	4942
1996/8/28	3.73	4096	6.36	5423
1996/8/29	3.8	7626	6.36	5146
1996/8/30	3.91	31172	6.43	17334
1996/8/31	3.87	6881	6.39	4835
1996/9/2	3.91	15831	6.43	13047
1996/9/3	3.94	17169	6.39	13938
1996/9/4	3.94	18200	6.39	24026
1996/9/5	3.98	10738	6.52	20160
1996/9/6	3.91	5517	6.43	9584
1996/9/7	3.91	16012	6.5	16135
1996/9/9	3.91	18136	6.59	22065
1996/9/10	3.84	9603	6.5	13199
1996/9/11	3.77	18189	6.45	14118
1996/9/12	3.7	18492	6.38	14816
1996/9/13	3.73	11161	6.39	7320
1996/9/14	3.7	4991	6.32	7654
1996/9/16	3.77	7649	6.36	6585
1996/9/17	3.77	8816	6.38	9266
1996/9/18	3.8	9064	6.36	11091
1996/9/19	3.8	6362	6.38	9466
1996/9/20	3.77	4945	6.32	7018
1996/9/21	3.73	4312	6.3	6989
1996/9/23	3.73	4415	6.3	6833
1996/9/24	3.73	3621	6.36	9774
1996/9/25	3.77	11081	6.41	18161
1996/9/26	3.84	14783	6.54	43785
1996/9/30	3.77	6398	6.47	13790
1996/10/1	3.77	6184	6.5	8282
1996/10/2	3.77	8859	6.48	17617
1996/10/3	3.77	5633	6.47	11051
1996/10/4	3.77	7096	6.48	9254
1996/10/5	3.8	8255	6.54	17061
1996/10/7	3.8	6919	6.5	10617
1996/10/8	3.77	3268	6.54	7751
1996/10/9	3.77	3040	6.5	18755
1996/10/11	3.8	9435	6.48	12669
1996/10/12	3.8	4792	6.52	9544
1996/10/14	3.84	23823	6.56	40511
1996/10/15	3.8	4050	6.56	11101
1996/10/16	3.77	6228	6.5	13153
1996/10/17	3.77	3906	6.5	7973
1996/10/18	3.77	3100	6.41	8478
1996/10/19	3.73	3908	6.39	11022
1996/10/21	3.73	4134	6.34	9024
1996/10/22	3.73	3547	6.32	7749
1996/10/23	3.77	2814	6.32	4953
1996/10/24	3.73	5463	6.36	4362
1996/10/28	3.7	5300	6.36	7858
1996/10/29	3.66	5499	6.3	6694
1996/10/30	3.73	8012	6.32	8336
1996/11/1	3.87	21310	6.43	12212
1996/11/2	3.87	16758	6.43	9036
1996/11/4	4.05	34373	6.54	17011
1996/11/5	4.05	35954	6.68	67697
1996/11/6	4.05	17959	6.79	37188
1996/11/7	3.98	16421	6.7	37860
1996/11/8	3.91	10616	6.75	26533
1996/11/9	3.91	8888	6.74	15600
1996/11/11	3.87	4775	6.77	12815
1996/11/13	4.01	13011	7.01	57385
1996/11/14	3.98	11512	6.88	42214
1996/11/15	3.91	5519	6.74	24027
1996/11/16	3.94	4031	6.66	17614
1996/11/18	3.94	4877	6.74	14784
1996/11/19	4.01	13111	6.86	42335
1996/11/20	4.01	14475	6.93	46352
1996/11/21	3.98	12686	6.95	45389
1996/11/22	4.08	23225	7.31	110064
1996/11/23	4.23	44784	7.49	114584
1996/11/25	4.23	27315	7.6	80331
1996/11/26	4.26	44927	7.69	116887
1996/11/27	4.3	18097	7.6	84911
1996/11/28	4.19	23041	7.35	68131
1996/11/29	4.08	13244	7.2	40203
1996/11/30	4.12	5945	7.37	23807
1996/12/2	4.19	9690	7.6	41369
1996/12/3	4.16	18956	7.47	85310
1996/12/4	4.08	7653	7.51	30168
1996/12/5	4.05	13944	7.26	48055
1996/12/6	3.98	9460	7.22	31625
1996/12/7	3.94	5198	7.13	16489
1996/12/9	3.94	4156	7.13	11758
1996/12/10	4.01	8039	7.22	17058
1996/12/11	4.01	6389	7.2	18993
1996/12/12	4.05	5140	7.17	12070
1996/12/13	4.01	3711	7.17	14865
1996/12/14	4.05	4217	7.38	20574
1996/12/16	4.01	5414	7.24	19340
1996/12/17	4.01	3085	7.22	10569
1996/12/18	3.98	4041	7.22	8751
1996/12/19	4.05	4982	7.15	13043
1996/12/20	3.98	4568	7.13	9167
1996/12/21	3.98	1874	7.13	7050
1996/12/23	3.98	3624	7.08	12933
1996/12/24	3.98	3122	7.02	14397
1996/12/26	3.98	2380	7.02	9941
1996/12/27	3.98	2403	7.01	8027
1996/12/28	4.01	4845	7.08	7702
1996/12/30	3.98	4064	7.02	9210
1996/12/31	3.98	2563	7.02	8205
1997/1/4	3.91	5080	6.9	9123
1997/1/6	3.91	3928	6.93	7514
1997/1/7	3.98	4364	6.95	8785
1997/1/8	3.98	6311	7.04	11457
1997/1/9	3.98	5227	7.02	10576
1997/1/10	3.98	7636	6.99	23780
1997/1/11	3.98	5626	6.95	15640
1997/1/13	4.08	23242	7.15	41439
1997/1/14	4.01	9952	7.01	19912
1997/1/15	4.01	3674	7.02	10819
1997/1/16	4.05	4501	7.02	9812
1997/1/17	4.01	4345	6.99	11255
1997/1/18	3.98	3629	6.93	8859
1997/1/20	3.98	10823	6.97	15670
1997/1/21	3.98	10099	6.97	20001
1997/1/22	3.98	6771	6.97	15391
1997/1/23	3.98	9634	6.93	27250
1997/1/24	4.01	7149	6.97	17401
1997/1/25	3.98	3431	6.95	9691
1997/1/27	3.98	3665	6.93	7788
1997/1/28	3.94	6130	6.86	8400
1997/1/29	3.94	5192	6.84	7940
1997/1/30	3.98	16839	6.9	11900
1997/1/31	3.98	11095	7.1	53545
1997/2/1	4.05	22292	7.2	57371
1997/2/3	4.05	8366	7.13	26884
1997/2/11	4.08	9006	7.2	42665
1997/2/12	4.37	43065	7.28	56562
1997/2/13	4.47	48613	7.33	49234
1997/2/14	4.3	35055	7.19	35088
1997/2/15	4.3	15307	7.24	26405
1997/2/17	4.3	14585	7.24	23597
1997/2/18	4.26	20089	7.17	37638
1997/2/19	4.26	17867	7.24	49947
1997/2/20	4.23	23814	7.33	60055
1997/2/21	4.44	34229	7.83	147657
1997/2/22	4.3	27788	7.76	143488
1997/2/24	4.3	11182	7.91	82089
1997/2/25	4.37	12257	7.76	41927
1997/2/26	4.26	16395	7.58	55071
1997/2/27	4.37	9718	7.94	53526
1997/2/28	4.4	34885	8.05	137298
1997/3/1	4.37	9915	8	44343
1997/3/3	4.47	24100	8.03	49547
1997/3/4	4.75	68587	8.54	122706
1997/3/5	4.65	51393	8.45	104913
1997/3/6	4.61	36541	8.47	93490
1997/3/7	4.58	31668	8.48	66204
1997/3/8	4.54	22331	8.38	52040
1997/3/10	4.51	18171	8.29	37544
1997/3/11	4.51	10371	8.38	40921
1997/3/12	4.54	20562	8.65	100637
1997/3/13	4.54	13895	8.68	94205
1997/3/14	4.51	14503	8.81	92591
1997/3/15	4.54	21219	9.1	88642
1997/3/17	4.68	37949	9.73	111420
1997/3/18	4.72	30388	9.91	94106
1997/3/19	4.58	24777	9.37	88239
1997/3/20	4.61	11294	9.37	47292
1997/3/21	4.51	17618	8.83	68306
1997/3/22	4.44	11159	8.79	42908
1997/3/24	4.44	13899	8.77	52885
1997/3/25	4.47	24494	9.1	76942
1997/3/26	4.61	16811	9.46	64566
1997/3/27	4.65	21851	9.46	51724
1997/3/28	4.86	54757	9.64	67410
1997/3/31	4.97	54120	9.73	62503
1997/4/1	5.07	35882	10	71421
1997/4/2	4.93	30870	9.73	69112
1997/4/3	5.14	36453	10.36	118314
1997/4/7	5.49	48447	11.08	107381
1997/4/8	5.56	45966	11.8	195204
1997/4/9	5.6	30566	11.89	145093
1997/4/10	5.6	26648	12.25	114534
1997/4/11	5.99	67579	13.06	172071
1997/4/12	6.02	96984	12.16	160919
1997/4/14	5.88	58593	11.89	132706
1997/4/15	6.27	71542	12.43	109043
1997/4/16	6.51	76035	12.61	117046
1997/4/17	6.37	57912	12.7	107661
1997/4/18	5.95	54500	11.89	94077
1997/4/19	5.81	37508	11.26	81810
1997/4/21	5.92	22731	11.44	39657
1997/4/22	5.99	26985	11.26	53273
1997/4/23	6.37	58738	11.98	65759
1997/4/24	6.2	42388	12.16	105857
1997/4/25	6.3	30648	12.34	76975
1997/4/26	6.48	38382	12.25	49494
1997/4/28	6.37	33931	12.07	40597
1997/4/29	6.59	54055	12.34	49183
1997/4/30	6.62	78105	12.07	83959
1997/5/2	6.37	59716	11.62	69206
