number,academic,conduct,year
3111,91.5,88,4
3112,83.2,85,4
3113,81.25,85,4
3114,90.13,85,4
3115,80.17,85,4
3116,80.67,87,4
3117,83.11,89,4
3118,73.2,85,4
3119,61.43,85,4
3120,49.69,85,4
3121,84.38,85,4
3122,75.72,85,4
3123,74.71,85,4
3124,52,85,4
3125,88.91,85,4
3126,84,86,4
3127,64.67,85,4
3128,75.85,87,4
3129,82.64,85,4
3130,87.78,87,4
3131,89.9,85,4
3132,74.5,85,4
3133,86.16,85,4
3134,77.29,85,4
3135,83.43,85,4
3136,86.68,87,4
3137,83.81,85,4
3138,87.4,87,4
3139,87.44,85,4
3140,85.59,87,4
3141,79.9,85,4
3142,82.13,87,4
3143,93.69,90,4
3144,72.25,85,4
3145,87.64,87,4
3146,84.78,85,4
3147,87.58,85,4
3148,89,87,4
3149,66.64,85,4
3150,60.65,85,4
3151,86.43,87,4
3152,70.33,85,4
3153,88.47,87,4
3154,78.63,85,4
3155,86.89,87,4
3156,85.89,87,4
3157,76.07,87,4
3158,75.84,86,4
3159,80.13,85,4
3160,80.33,87,4
3161,82.81,87,4
3162,80.58,85,4
3163,80.43,85,4
3164,83.33,85,4
3165,86.62,86,4
3166,73.19,85,4
3167,73.47,85,4
3168,85.08,85,4
3169,73.67,87,4
3170,74.81,85,4
3171,72.6,85,4
3172,82.38,87,4
3173,72.53,85,4
3174,69.43,87,4
3175,52.5,85,4
3176,85.05,89,4
3177,75.14,84,4
3178,75.09,95,4
3179,77.68,91,4
3180,65.57,89,4
3181,79.79,95,4
3182,84.1,95,4
3183,77.4,95,4
3184,85.24,91,4
3185,80.45,90,4
3186,75.71,93,4
3187,71.71,86,4
3188,71.36,93,4
3189,87.61,95,4
3190,83.54,95,4
3191,77.37,94,4
3192,81.95,93,4
3193,75.33,95,4
3194,71,91,4
3195,79.05,95,4
3196,87.32,95,4
3197,79.36,93,4
3198,87.76,95,4
3199,77.41,95,4
3200,64.18,91,4
3201,70.05,95,4
3202,81.96,95,4
3203,82.74,95,4
3204,83.16,95,4
3205,73.77,93,4
3206,78.96,95,4
3207,80.59,95,4
3208,86.5,95,4
3209,59,95,4
3210,69.95,95,4
3211,76.5,95,4
3212,81.95,91,4
3213,70.57,95,4
3214,77.82,95,4
3215,84.11,95,4
3216,73.24,84,4
3217,75.88,91,4
3218,82.18,91,4
3219,69.33,89,4
3220,22.18,85,3
3221,68.33,89,4
3222,58.89,84,4
3223,84,95,4
3224,58.12,91,4
3225,78.24,93,4
3226,84.57,93,4
3227,60.68,87,4
3228,64.48,87,4
3229,66.86,91,4
3230,70.68,82,4
3231,79.26,93,4
3232,79.12,89,4
3233,78.35,91,4
3234,79.5,87,4
3235,81.93,89,4
3236,42.33,89,4
3237,83.53,89,4
3238,61.68,82,4
3239,66,82,4
3240,86.67,87,4
3241,78.72,95,4
3242,65.33,89,4
3243,78.11,89,4
3244,77.55,93,4
3245,81.18,87,4
3246,73.71,89,4
3247,79.33,93,4
3248,87.13,82,4
3249,77.89,82,4
3250,78.9,89,4
3251,83.79,93,4
3252,80.82,87,4
3253,87.91,91,4
3254,83,87,4
3255,73.74,93,4
3256,61.82,91,4
3257,81.06,91,4
3258,79.67,91,4
3259,80,89,4
3260,79.7,94,4
3261,74.55,88,4
3262,69.26,91,4
3263,71,89,4
3264,76.25,87,4
3265,78.05,89,4
3266,71.05,89,4
3267,73.09,82,4
3268,72.09,89,4
3269,83.88,95,4
3270,80.76,89,4
3271,43.37,87,4
3272,73.45,87,4
3273,72.16,80,4
3274,79.5,87,4
3275,74,87,4
3276,85.75,87,4
3277,69.85,86,4
3278,73.18,86,4
3279,83.25,87,4
3280,79.23,88,4
3281,92.27,87,4
3282,73.38,87,4
3283,54.24,85,4
3284,75.64,86,4
3285,82.33,87,4
3286,75.92,89,4
3287,85.73,93,4
3288,85.29,87,4
3289,72.17,89,4
3290,92,87,4
3291,55,84,4
3292,92.29,86,4
3293,78.43,88,4
3294,80,85,4
3295,79.23,87,4
3296,90,88,4
3297,74.64,87,4
3298,84.64,87,4
3299,70.5,87,4
3300,91,87,4
3301,79.5,87,4
3302,83.79,87,4
3303,80.25,86,4
3304,82.73,87,4
3305,84.23,87,4
3306,83,87,4
3307,80.31,86,4
3308,69.91,88,4
3309,71.2,88,4
3310,91.64,90,4
3311,83.6,85,4
3312,83.82,87,4
3313,72.41,85,4
3314,76.4,85,4
3315,84.29,87,4
3316,82.07,87,4
3317,70.17,85,4
3318,74.5,84,4
3319,80.25,84,4
3320,84.33,88,4
3321,75.35,85,4
3322,77.11,85,4
3323,90.31,87,4
3324,94.25,93,4
3325,85.13,91,4
3326,89.13,89,4
3327,86.36,89,4
3328,84.07,91,4
3329,83.2,85,4
3330,73.77,91,4
3331,82.82,86,4
3332,70.56,88,4
3333,85.45,87,4
3334,85.55,89,4
3335,93.79,89,4
3336,76.5,85,4
3337,81.75,86,4
3338,87.79,89,4
3339,92.07,89,4
3340,87.77,88,4
3341,88.14,88,4
3342,91.09,91,4
3343,85.25,89,4
3344,85,89,4
3345,89.69,90,4
3346,63,88,4
3347,82.29,88,4
3348,72.94,88,4
3349,81.08,86,4
3350,80.07,89,4
3351,79.33,91,4
3352,87.71,88,4
3353,92.55,88,4
3354,72,88.5,4
3355,74.78,89,4
3356,80.56,88,4
3357,90.46,87,4
3358,87.5,88,4
3359,84.78,88,4
3360,92.16,87,4
3361,77.24,88,4
3362,71.64,88,4
3363,69.5,84,4
3364,21.9,88,4
3365,86.4,88,4
3366,91.15,88,4
3367,88.85,91,4
3368,57.77,87,3
3369,86.77,91,3
3370,86.29,89,4
3371,88.33,89,4
3372,89.94,90,4
3373,87.07,89,4
3374,87.08,88,4
3375,85,87,4
3376,84.53,89,4
3377,91.09,90,4
3378,87.56,87,4
3379,87.64,89,4
3380,80.53,88,4
3381,90.88,92,4
3382,91.36,89,4
3383,89.92,90,4
3384,86.4,87,4
3385,64,87,4
3386,87.22,88,4
3387,87.2,88,4
3388,83.78,87,4
3389,85.93,88,4
3390,91.69,89,4
3391,89.47,90,4
3392,86.18,89,4
3393,88.65,90,4
3394,89.92,88,4
3395,82.67,88,4
3396,74.05,87,3
3397,57.38,87,4
3398,87.71,93,4
3399,84.5,88,4
3400,92.54,88,4
3401,83.38,91,4
3402,88.15,88,4
3403,88.73,88,4
3404,66.16,85,4
3405,31.22,87,4
3406,85.6,88,4
3407,88.87,87,4
3408,82.36,85,4
3409,79.78,87,4
3410,85.44,89,4
3411,78,88,4
3412,79.24,87,4
3413,87,90,4
3414,77.83,91,4
3415,77.33,89,4
3416,83,87,4
3417,84.35,90,4
3418,80.88,87,4
3419,84.07,87,4
3420,75.4,91,4
3421,91.2,87,4
3422,69.4,90,4
3423,86,90,4
3424,90,87,4
3425,89.29,90,4
3426,89,87,4
3427,72.4,90,4
3428,83.59,90,4
3429,61.88,85,4
3430,83.17,90,4
3431,64.67,89,4
3432,77.47,86,4
3433,75.33,90,4
3434,58.82,87,4
3435,77.5,90,4
3436,85.12,85,4
3437,80.2,89,4
3438,81.67,85,4
3439,86.2,90,4
3440,86.43,87,4
3441,69.53,89,4
3442,46.95,89,3
3443,85.57,90,4
3444,82.33,90,4
3445,80.46,87,4
3446,81.56,90,4
3447,84.25,85,4
3448,46.44,90,4
3449,74.4,85,4
3450,81.55,90,4
3451,84.91,87,4
3452,86.26,90,4
3453,83.33,90,4
3454,79.7,85,4
3455,79.82,89,4
3456,71.57,89,4
3457,65.67,86,4
3458,78.4,85,3
3459,74,87,4
3460,72.83,87,4
3461,85.08,87,4
3462,67.6,85,2
3463,91.33,86,4
3464,76.6,86,4
3465,84.14,86,4
3466,67.64,85,4
3467,82.36,85,4
3468,81.5,87,4
3469,78.5,85,4
3470,78.2,86,4
3471,79.6,86,4
3472,91,87,4
3473,87.71,87,4
3474,84.86,87,4
3475,83.73,86,4
3476,77.33,86,4
3477,83.6,86,4
3478,79.75,85,4
3479,69.56,85,4
3480,82.45,87,4
3481,86.38,90,4
3482,84.5,90,4
3483,30.89,85,2
3484,86.11,90,4
3485,79.33,85,4
3486,80.29,86,4
3487,82.57,88,4
3488,82.33,86,4
3489,73.56,85,4
3490,78.22,86,4
3491,90.43,87,4
3492,89.8,87,4
3493,78.37,85,4
3494,83.17,86,4
3495,84,88,4
3496,85.43,86,4
3497,79.6,85,4
3498,82.26,87,4
3499,74.36,85,4
3500,78.53,87,4
3501,80.89,87,4
3502,87.5,88,4
3503,82,87,4
3504,76.23,87,4
3505,84.89,85,4
3506,71.75,85,4
3507,82.5,83,4
3508,86.14,88,4
3509,81.5,86,4
3510,79.47,83,4
3511,87.21,91,4
3512,86.75,86,4
3513,91.91,88,4
3514,76.28,86,4
3515,67.32,88,4
3516,87.8,85,4
3517,73.31,89,4
3518,87.25,85,4
3519,87.55,88,4
3520,90.71,85,4
3521,85.83,88,4
3522,80,83,4
3523,86.29,83,4
3524,83.38,88,4
3525,71.14,83,4
3526,92.2,92,4
3527,84.17,83,4
3528,84.33,88,4
3529,80.43,88,4
3530,89.79,85,4
3531,85.29,88,4
3532,79,88,4
3533,88.5,83,4
3534,88.45,88,4
3535,86,88,4
3536,77.4,83,4
3537,85.29,88,4
3538,72.64,89,4
3539,94.87,87,4
3540,85.78,88,4
3541,82.25,83,4
3542,89.67,88,4
3543,68.93,85,4
3544,85.33,87,4
3545,90.38,83,4
3546,90.18,87,4
3547,73.65,88,4
3548,90.1,87,4
3549,63.26,88,4
3550,65.68,91,4
3551,86,85,4
3552,79.17,88,4
3553,89.2,85,4
3554,85.65,85,4
3555,91.43,90,4
3556,84.17,85,4
3557,86.17,85,4
3558,86,86,4
3559,84.83,85,4
3560,75.07,85,4
3561,93.29,85,4
3562,74.93,85,4
3563,79.37,85,4
3564,89.4,90,4
3565,85.33,85,4
3566,86.45,85,4
3567,90.5,85,4
3568,73.08,90,4
3569,79.82,85,4
3570,89.62,85,4
3571,94.2,85,4
3572,88.13,85,4
3573,83.86,85,4
3574,80,90,4
3575,81.56,85,3
3576,81.63,85,4
3577,84.89,85,4
3578,88.33,89,4
3579,89.4,85,4
3580,83.7,88,4
3581,10.59,88,4
3582,86.77,88,2
3583,85.44,90,4
3584,10.59,85,4
3585,85.53,87,4
3586,89,85,4
3587,77.79,85,4
3588,85,85,4
3589,86.63,89,4
3590,89.5,87,4
3591,86.29,87,4
3592,90.45,85,4
3593,79.93,85,4
3594,82,85,4
3595,56.48,85,4
3596,23.6,85,4
3597,78.08,85,4
3598,62.91,85,4
3599,88.33,87,4
3600,69.11,85,4
3601,76.88,86,4
3602,74.78,93,3
3603,71.27,89,3
3604,77.2,93,3
3605,63.9,87,3
3606,69.24,95,3
3607,59.67,93,3
3608,78.5,93,3
3609,69.68,95,3
3610,71,87,3
3611,88.05,95,3
3612,75.35,93,3
3613,48.64,93,1
3614,73.9,93,3
3615,85.86,93,3
3616,60.19,87,3
3617,58.69,85,2
3618,88,87,3
3619,87.88,93,3
3620,72.5,95,3
3621,55.68,93,3
3622,65.29,87,3
3623,58.94,93,3
3624,51.64,75.5,2
3625,67.11,89,3
3626,66.5,93,3
3627,72.14,82,3
3628,71.55,87,3
3629,58.8,93,3
3630,79.05,93,3
3631,80.11,95,3
3632,58.61,95,3
3633,76.76,87,3
3634,70.42,93,3
3635,61.37,87,3
3636,74.76,95,3
3637,94.24,93,3
3638,68.5,87,3
3639,59.43,91,3
3640,47.21,93,3
3641,64.94,91,3
3642,52.95,87,3
3643,69.56,87,3
3644,73.13,89,3
3645,67.57,87,3
3646,18.62,82,3
3647,92.06,95,3
3648,67.8,89,3
3649,59.73,95,3
3650,54.14,89,3
3651,73.11,89,3
3652,93.48,89,3
3653,53.94,89,3
3654,67.79,87,3
3655,79.63,93,3
3656,69.57,87,3
3657,75.29,89,3
3658,59.82,87,3
3659,87.05,95,3
3660,84.81,93,3
3661,75.84,87,3
3662,61.6,89,3
3663,93,89,3
3664,65.64,92,3
3665,57.1,89,3
3666,68.33,89,3
3667,53.75,89,2
3668,65.58,89,3
3669,85.15,87,3
3670,77,87,3
3671,67.76,89,3
3672,66,93,3
3673,56.83,87,3
3674,74.14,93,3
3675,74.63,87,3
3676,92.38,95,3
3677,69.1,89,3
3678,61.2,89,3
3679,64.86,89,3
3680,64.11,89,3
3681,90.37,95,3
3682,80.25,93,3
3683,59.86,95,3
3684,60.53,87,3
3685,56.64,95,3
3686,75.59,89,3
3687,74.82,89,3
3688,69.75,87,3
3689,68.83,89,3
3690,49.5,85,3
3691,53.36,89,3
3692,32.14,87,3
3693,71.13,93,3
3694,41.79,85,3
3695,14.75,89,3
3696,54,87,3
3697,66.94,89,3
3698,63.94,87,3
3699,76.93,89,3
3700,65.31,86,3
3701,69.55,86,3
3702,71.86,87,3
3703,67.83,81,1
3704,76.35,86,3
3705,67.3,89.5,3
3706,85.06,90.5,3
3707,76.82,91.5,3
3708,72,88,3
3709,56.89,88,3
3710,76.52,88,3
3711,79.38,86,3
3712,66.29,89.5,3
3713,62.62,87,3
3714,83.08,90.5,3
3715,84.88,87,3
3716,58.38,80,3
3717,48.89,87,3
3718,68.71,86,3
3719,38.6,82,3
3720,76.32,88,3
3721,91.1,89,3
3722,77.26,87,3
3723,54.84,87,3
3724,63.43,88,3
3725,56.29,82,3
3726,71.14,80,2
3727,67.44,84,3
3728,74.08,82,3
3729,65.91,88,3
3730,72.28,87,3
3731,69.63,85,3
3732,57.41,82,3
3733,59.05,86,3
3734,70.48,90.5,3
3735,72.54,87,3
3736,69.19,90.5,3
3737,73.06,82,3
3738,54.52,89,3
3739,58.9,89.5,3
3740,83.59,85,2
3741,44.28,86,3
3742,73.82,87,3
3743,33.63,73.5,3
3744,59.2,86,3
3745,66.59,87,3
3746,64.36,88,3
3747,82.76,85,3
3748,66,89.5,3
3749,60.48,92.5,3
3750,68.1,88,3
3751,60.1,87,3
3752,76.9,88,3
3753,73.77,87,3
3754,87,88,3
3755,79.88,87,3
3756,74.57,85,3
3757,40.05,80,3
3758,73.24,86,3
3759,85.12,85,3
3760,73.41,83,3
3761,67.71,85,3
3762,68.1,88,3
3763,61.95,84,3
3764,60.18,87,3
3765,93,85,3
3766,72.37,88,3
3767,83.58,85,2
3768,80.75,88,3
3769,67.38,88,3
3770,63.86,83,3
3771,49.14,85,3
3772,65.56,87,3
3773,74.74,85,3
3774,87.15,87,3
3775,56.3,87,3
3776,82.61,88,3
3777,62.85,84,3
3778,83.24,88,3
3779,86.21,87,3
3780,73.28,87,3
3781,78.05,85,3
3782,55.14,80,3
3783,88.27,88,3
3784,53.38,84,3
3785,44.29,89.5,3
3786,81.5,85,3
3787,62.43,81,3
3788,58.86,80,3
3789,60.95,88,3
3790,77.8,85,3
3791,84.95,88,3
3792,82.45,85,3
3793,79.79,85,3
3794,61.33,80,3
3795,66.61,84,3
3796,86.76,85,3
3797,21,81,2
3798,85,88,3
3799,81.53,86,3
3800,77.62,87,3
3801,68,86,3
3802,63.3,81,3
3803,72.05,87,3
3804,72.59,86,3
3805,67.1,88,3
3806,55.14,86,3
3807,61.15,81,3
3808,72,86,3
3809,85.18,86,3
3810,52.93,83,3
3811,89.78,87,3
3812,68,87,3
3813,39.92,79,3
3814,75.1,87,3
3815,80.78,86,3
3816,73.11,87,3
3817,76.05,87,2
3818,73.81,87,3
3819,65.63,82,3
3820,87.59,87,3
3821,91.22,86,3
3822,69.16,87,3
3823,70.86,87,3
3824,81.12,87,3
3825,79.05,86,3
3826,51.19,87,3
3827,75.71,86,3
3828,92.53,89,3
3829,72.05,87,3
3830,73.89,87,3
3831,66.45,83,3
3832,86.76,87,3
3833,70.89,82,3
3834,90.18,87,3
3835,85.89,86,3
3836,72.73,87,3
3837,60.81,86,3
3838,70.76,87,3
3839,67.68,87,3
3840,77.81,88,3
3841,67.55,86,3
3842,76.95,87,3
3843,76.77,86,3
3844,72.1,88,3
3845,68.33,82,3
3846,88.12,90,3
3847,63.48,86,3
3848,75.37,87,3
3849,57.17,79,3
3850,50.31,81,3
3851,59.59,85,3
3852,70.7,85,3
3853,73.94,87,3
3854,66.25,86,3
3855,85.5,90,3
3856,73.42,85,3
3857,80.05,87,3
3858,76.3,85,3
3859,47.44,83,3
3860,73.95,87,3
3861,72.89,87,3
3862,81.76,87,3
3863,64.38,90,3
3864,59.89,85,3
3865,75.5,88,3
3866,91,89,3
3867,58.16,87,3
3868,80.94,86,3
3869,70.63,87,3
3870,91,87,3
3871,80.63,88,3
3872,75.78,87,3
3873,73.95,90,3
3874,86.75,88,3
3875,73.47,90,3
3876,94.84,86,3
3877,87.39,91,3
3878,78.56,87,3
3879,70.68,87,3
3880,53.5,81,3
3881,59.1,87,3
3882,67.29,85,3
3883,56.1,82,3
3884,71.05,86,3
3885,68.61,87,3
3886,75.86,80,3
3887,72.44,84,3
3888,93.8,85.5,3
3889,72.06,82,3
3890,74.45,87,3
3891,77.33,88,3
3892,80.21,86,3
3893,52.73,85,3
3894,60.7,85,3
3895,74.93,86,3
3896,77.35,88,3
3897,69.25,81,4
3898,72.68,86,3
3899,60.89,82,3
3900,75.12,81,3
3901,95.69,86,3
3902,76.36,82,3
3903,80.24,83,3
3904,75.64,83,3
3905,84.32,88,3
3906,69.62,84,2
3907,83,87,3
3908,77.45,94.5,3
3909,58.14,91.5,3
3910,85.3,88,3
3911,86.35,87,3
3912,77.37,90,3
3913,65.88,87,3
3914,72.29,87,2
3915,88.68,91,3
3916,80.25,90,3
3917,81.94,87,3
3918,86.95,89,3
3919,85.05,88,3
3920,80.24,86.5,3
3921,59.32,87,3
3922,71.09,88,3
3923,85.64,87,3
3924,75.59,90,3
3925,83.72,83,3
3926,74.95,87,3
3927,52.95,79,3
3928,84.58,87,3
3929,71.23,89,3
3930,79.83,85,3
3931,79.12,90,3
3932,70.5,83,3
3933,68.14,83,3
3934,73.74,85,3
3935,78.52,87.5,3
3936,76.67,88,3
3937,52.24,85,3
3938,85.92,82,3
3939,63.71,88,3
3940,82.95,84,3
3941,73.64,87,3
3942,73.86,85,3
3943,77.64,87,3
3944,76.4,85,3
3945,81.56,82,3
3946,64.17,87,3
3947,78.84,84,3
3948,79.58,87,3
3949,70.25,83,3
3950,37.14,83,3
3951,78.94,88,4
3952,81.05,90,3
3953,79.53,88,3
3954,83.55,90,3
3955,80.35,90,3
3956,77.55,89,3
3957,78.52,85,3
3958,63.45,88,3
3959,77.32,89,3
3960,75.05,89,3
3961,81.81,88,3
3962,74.4,88,3
3963,86.48,88,3
3964,88.68,85,3
3965,89.63,90,3
3966,84.53,88,3
3967,85.32,90,3
3968,71.5,84,3
3969,84.25,87,3
3970,70.85,86,3
3971,51.37,91.5,3
3972,79.09,88,3
3973,84.53,88,3
3974,78.37,88,3
3975,74.41,88,3
3976,79.68,89,3
3977,74.17,88,3
3978,78.11,88,3
3979,79.11,88,3
3980,76.37,88,3
3981,77.7,86,3
3982,76.81,82,3
3983,66,89,3
3984,82.78,88,3
3985,48.21,86,3
3986,83.17,88,3
3987,73.23,88,3
3988,78.79,87,3
3989,78.4,87,3
3990,80.11,89,3
3991,78.68,86,3
3992,79.45,87,3
3993,63.33,88,3
3994,69.35,89,3
3995,82.76,89,3
3996,61.2,83,2
3997,79.95,88,3
3998,75.2,88,3
3999,72.05,84,3
4000,74.93,88,3
4001,76.09,88,3
4002,84.52,86,3
4003,79,91,3
4004,75.6,90,3
4005,83.45,90,3
4006,72.14,86,3
4007,78.95,86,3
4008,63.52,91,3
4009,76.35,85,3
4010,66.82,86,3
4011,73.54,86,3
4012,65.32,85,3
4013,83.05,86,3
4014,71.88,87,3
4015,80,90,3
4016,84.25,86,3
4017,73.71,86,3
4018,76.55,92,3
4019,64.68,86,3
4020,85.8,86,3
4021,80.63,89,3
4022,95.8,90,3
4023,89.28,86,3
4024,76.36,87,3
4025,59.35,86,3
4026,76.55,87,3
4027,86.05,88.5,3
4028,72.3,86,3
4029,71.53,89,3
4030,82.53,86,3
4031,84.05,88,3
4032,76.7,88,3
4033,69.24,86,3
4034,75.35,88,3
4035,68.86,86,3
4036,71.68,85,3
4037,29.76,85,3
4038,78.04,86,3
4039,90.6,87,3
4040,75.1,87,3
4041,75.24,87,3
4042,76.68,86,3
4043,73.13,88,3
4044,71.05,85,3
4045,82.32,86,3
4046,86.73,88,3
4047,72,85,3
4048,70.39,88,3
4049,80.79,93,3
4050,67.91,87,3
4051,74.32,87,3
4052,72.33,88,3
4053,80.05,89,3
4054,70.26,87,3
4055,86.43,87,3
4056,68.69,88,3
4057,65.86,87,3
4058,78.96,90,3
4059,70.7,87,3
4060,71.14,89,2
4061,80,87,3
4062,76.5,87,3
4063,82.32,87,3
4064,66.48,87,3
4065,84.94,87,3
4066,79.08,87,3
4067,74.45,87,3
4068,64.17,87,3
4069,79.95,89,2
4070,69.26,87,3
4071,54.72,88,3
4072,86.86,87,3
4073,72.23,87,3
4074,75.05,92,3
4075,78.1,89,3
4076,69.16,87,3
4077,90.91,87,3
4078,74.18,87,3
4079,81.37,87,3
4080,79.71,87,3
4081,78.5,87,3
4082,83.81,87,3
4083,77.95,87,3
4084,80,87,3
4085,73.41,86,2
4086,69.05,89,3
4087,84.83,87,3
4088,77.59,90,3
4089,78.76,94,3
4090,87.81,91,3
4091,73.13,87,3
4092,76.09,87,3
4093,57.84,91,3
4094,35.3,86,3
4095,62.75,86,3
4096,70.9,86,3
4097,55.36,86,3
4098,32,76,2
4099,48.47,85,3
4100,92.16,89,3
4101,75.25,86,3
4102,64.29,85,3
4103,65.7,85,3
4104,67.05,85,3
4105,70.95,87,3
4106,54.95,88,3
4107,63.3,91,3
4108,65.8,85,3
4109,67.45,87,3
4110,73.35,93,3
4111,70.43,95,3
4112,58.11,85,3
4113,69.29,87,3
4114,80.29,87,3
4115,64.62,89.5,3
4116,78.3,92,3
4117,72.7,87,3
4118,70.32,92,3
4119,86.83,85,3
4120,79.57,88,3
4121,52,85,3
4122,67.32,87,3
4123,68.09,85,3
4124,62.77,84,3
4125,86.68,85,3
4126,64.33,87,3
4127,79.89,87,3
4128,62.17,87,3
4129,64.64,87,3
4130,65.47,87,3
4131,69.76,85,3
4132,62.09,88,3
4133,80,89,3
4134,68.47,85,3
4135,73,86,3
4136,77.76,90,3
4137,57.95,87,3
4138,78.91,85,3
4139,54.11,93.5,3
4140,77.41,85,3
4141,63.56,87,3
4142,55.85,85,3
4143,67.26,80,3
4144,62.79,94,3
4145,87.71,86,3
4146,77.53,86,3
4147,68.24,89,3
4148,77.17,88,3
4149,74.05,90,3
4150,82.41,87,3
4151,80.95,85,3
4152,71.57,85,3
4153,79.86,85,3
4154,67.48,85,3
4155,56.52,82,3
4156,66.73,86,3
4157,45.63,88,3
4158,58.5,81,3
4159,62,86,3
4160,83,85,3
4161,49.33,86,3
4162,80.47,85,3
4163,78.67,80,3
4164,89.64,89,3
4165,80,85,3
4166,63.2,85,3
4167,68.77,85.5,3
4168,86.67,85,3
4169,89.32,91.5,3
4170,76.82,88,3
4171,76.15,86,3
4172,61.83,82,3
4173,82.78,87,3
4174,70.33,90,3
4175,77.45,86,3
4176,86.48,85,3
4177,84.55,84,3
4178,67.38,90,3
4179,78.45,88,3
4180,62.62,80,3
4181,62.47,80,3
4182,62.71,85,3
4183,64.85,80,3
4184,73.67,85,4
4185,47.6,80,3
4186,67.45,81,3
4187,62.18,86,3
4188,77.14,90,3
4189,79.32,90,3
4190,66.75,88,3
4191,89.86,85,3
4192,93.45,85,3
4193,58.77,85,3
4194,83.86,89,3
4195,76.91,89,3
4196,65.61,80,3
4197,59.95,82,3
4198,76.84,85,3
4199,64.27,85,3
4200,72.36,86,3
4201,66.1,86,3
4202,67.86,86,3
4203,66.77,85,3
4204,71.76,86,3
4205,74.5,86,3
4206,78.82,85,3
4207,54.42,90,3
4208,65.1,82,3
4209,72.67,85,3
4210,57.95,91,3
4211,73.29,85,3
4212,77,85,3
4213,56.95,85,3
4214,70.82,86,3
4215,62.17,85,3
4216,89.36,85,3
4217,72.55,86,3
4218,61.29,81,3
4219,70.91,87,3
4220,56.47,85,2
4221,82.54,87,3
4222,61.16,86,3
4223,71.05,89,3
4224,53,90,3
4225,71.68,88,3
4226,61.95,83,3
4227,53.86,79,3
4228,85,85,3
4229,55.79,86,3
4230,51.24,86,3
4231,76.6,87,3
4232,93.8,85,3
4233,90.48,85,3
4234,56.72,87,3
4235,63.77,85,3
4236,61.38,86,4
4237,48.32,85,3
4238,64.32,90,3
4239,75.92,85,3
4240,73.95,85,3
4241,66.33,87,3
4242,30.15,78,3
4243,74.92,87,3
4244,57.75,83,3
4245,71.29,79,3
4246,66.5,85,3
4247,68.25,91,3
4248,79.19,88,3
4249,67.48,85,3
4250,71.48,85,3
4251,71.95,88,3
4252,53.75,78,3
4253,76.05,87,3
4254,58.16,87,3
4255,68.19,81,3
4256,70.38,85,3
4257,54.56,85,3
4258,57.5,80,3
4259,73.26,91,3
4260,55.33,86,3
4261,62.05,90,3
4262,61.27,87,3
4263,56.8,85,3
4264,60.94,90.5,1
4265,90.31,95,3
4266,62.67,85,3
4267,51.2,87,3
4268,74.26,85,3
4269,77.23,85,3
4270,80.86,87,3
4271,61.62,80,3
4272,84.43,85,3
4273,46,88,3
4274,63.59,81,3
4275,66.64,87,3
4276,50.2,78,3
4277,82.84,86,3
4278,87.82,86,3
4279,78.95,89,3
4280,63.59,84,3
4281,72.81,81,3
4282,55.55,89.5,3
4283,74.71,91,3
4284,72.05,81,3
4285,72.36,85,3
4286,81.91,85,3
4287,73.23,85,3
4288,54.95,81,3
4289,45.2,85,3
4290,55.58,89,3
4291,50.43,86,4
4292,56.53,85,3
4293,93.75,95,3
4294,64.62,86,2
4295,27.43,83,3
4296,64.9,87,3
4297,81.86,89,3
4298,92.04,88,3
4299,54.25,89.5,3
4300,66.41,95,3
4301,59.59,88,3
4302,71.32,85,3
4303,61.95,87,3
4304,64.95,84,3
4305,90.79,90,3
4306,64.7,91,3
4307,70.27,88,3
4308,34.35,87,2
4309,70.72,89,3
4310,57.11,88,3
4311,88.55,89,3
4312,54.58,88,3
4313,64.9,83,3
4314,75.25,87,3
4315,76.14,88,3
4316,62.26,87,3
4317,83.32,93.5,3
4318,87.12,93,3
4319,68.26,87,3
4320,71.43,88,3
4321,69.5,93,3
4322,71.85,89,3
4323,72.43,88,3
4324,72.55,87,3
4325,76.71,87,3
4326,65.22,89,3
4327,82.32,88,3
4328,79.11,93,3
4329,55.37,80,3
4330,71.81,84,3
4331,77.22,84,3
4332,69.67,82,3
4333,65.45,86,3
4334,58.36,91.5,3
4335,31.56,82,3
4336,59.1,95,3
4337,71.52,82,3
4338,58,82,3
4339,67.14,82,3
4340,61.5,89.5,3
4341,46.41,83,3
4342,65.92,89,3
4343,73.29,94,3
4344,64.18,86.5,3
4345,55.86,83,3
4346,60.1,81,3
4347,66.11,85,3
4348,59.89,81,3
4349,59.86,88,3
4350,74.33,88,3
4351,68.32,90,3
4352,64.74,91.5,3
4353,81.7,87,3
4354,72.18,88,3
4355,61.14,86,3
4356,50.32,85,3
4357,66.85,82,3
4358,63.21,82,3
4359,53.73,81,3
4360,43.36,83,3
4361,63.55,86,3
4362,71.45,85,3
4363,66,95,3
4364,76.25,87,3
4365,88.1,87,3
4366,70.95,87,3
4367,65.62,87,3
4368,72.3,88,3
4369,56.5,82,3
4370,44.85,92,3
4371,61,87,3
4372,49.82,95,3
4373,76.52,95,3
4374,61.55,86,3
4375,65.58,86,3
4376,81.18,87,3
4377,74.17,87,3
4378,33.83,81,1
4379,67.58,87,3
4380,74.22,87,3
4381,63.77,94,3
4382,61.24,85,3
4383,59.25,82,3
4384,58.94,85,3
4385,67.14,93,3
4386,11,81,3
4387,77.25,86,3
4388,83.38,90,3
4389,67.9,88,3
4390,69.86,87,3
